id,name,artist,deezer_genre,ai_genre,confidence,chart_source,fetched_at,rank,has_preview
deezer:5726106,"Poinciana (Single Version)","Ahmad Jamal",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.761Z,309954,yes
deezer:3427933,"Re-tratamento","Da Weasel",hip-hop-rap,UNCLASSIFIED,0,classica_tuga,2026-06-15T16:42:00.245Z,307532,yes
deezer:1444366302,"All I Do","Kirk Whalum",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.040Z,307386,no
deezer:2255409257,"Buss The Red","P Money",,UNCLASSIFIED,0,UK_uk_garage_dnb,2026-06-15T21:10:20.084Z,299388,yes
deezer:765799792,"Work (Live)","Chick Corea",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.816Z,297553,yes
deezer:948402472,"Desde Que Te Vi","Odarion",pop,UNCLASSIFIED,0,portugal,2026-06-09T22:43:13.564Z,294633,no
deezer:75722272,"A Night In Tunisia","Sonny Rollins",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.883Z,294259,yes
deezer:2738165721,"Forbidden Feelingz","Nia Archives",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.721Z,291625,yes
deezer:505201972,"Nota 100","No Maka",pop,UNCLASSIFIED,0,portugal,2026-06-10T23:24:39.345Z,291132,yes
deezer:693392502,"It's All Right With Me (Live At The Village Gate, 1961)","The Stan Getz Quartet",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.850Z,286447,yes
deezer:394126712,"Tantra Flute (Indian Flute Meditation Music)","Meditative Mind",indian,UNCLASSIFIED,0,indian,2026-06-09T22:41:41.904Z,285839,no
deezer:3264450231,"Badder","Shermanology",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.886Z,285683,yes
deezer:1398346782,"Manike Mage Hithe","Chamath Sangeeth",indian,UNCLASSIFIED,0,indian,2026-06-09T22:41:41.915Z,283930,no
deezer:7634834,"Songbird","Kenny G",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.042Z,283752,no
deezer:1772853217,"Lively (feat. Jaykae & Blair Muir) (Alcemist Remix)","Double Lz",,UNCLASSIFIED,0,UK_uk_garage_dnb,2026-06-15T21:10:20.106Z,280980,yes
deezer:701033162,"#Sextou","No Maka",pop,UNCLASSIFIED,0,portugal,2026-06-09T22:43:13.664Z,280958,no
deezer:3378561751,"over you","Oppidan",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.809Z,279724,yes
deezer:3475498,"Dunas","GNR",,UNCLASSIFIED,0,PT_pop_rock_tuga,2026-06-15T11:40:35.958Z,279668,yes
deezer:639677842,"Yesterdays","Art Blakey's Jazz Messengers",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.794Z,277677,yes
deezer:13233873,"Evidence (Live)","Thelonious Monk",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.861Z,274823,yes
deezer:1566714,"Wave (Live At The London House)","Oscar Peterson Trio",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.916Z,274681,yes
deezer:93842216,"Here's That Rainy Day","Michel Petrucciani",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.961Z,274653,yes
deezer:6632093,"Morning Magic","Larry Carlton",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.045Z,273600,no
deezer:93842212,"Face's Face","Michel Petrucciani",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.839Z,273381,yes
deezer:3821991,"Take Me There","Grover Washington, Jr.",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.051Z,272857,no
deezer:1110433162,"Blue Lou (Live)","Eddie ""Lockjaw"" Davis",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.805Z,272814,yes
deezer:2180206077,"I Need Your Loving (Bladerunner Rmx)","Dope Ammo",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:05.061Z,271971,yes
deezer:57721781,"A Chupeta de Agora","Jorge Ferreira",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:02.250Z,271418,yes
deezer:36216241,"Desgarrada Quadras Soltas À Jorge Ferreira","Jorge Ferreira",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:01.209Z,269141,yes
deezer:639677972,"Stop Time","The Horace Silver Quintet",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.828Z,269065,yes
deezer:5472592,"I'll Be Seeing You (Live)","Brad Mehldau",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.927Z,268300,yes
deezer:3382501601,"Afters (feat. Scrufizzer)","Badger",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.842Z,267223,yes
deezer:81406056,"Ao Passar a Ribeirinha","Jorge Ferreira",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:00.356Z,266887,yes
deezer:1785773307,"Higher Ground","Vibe Chemistry",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.288Z,266628,yes
deezer:1831465737,"Sober","Alcemist",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.122Z,265606,yes
deezer:3228941851,"Tik Tik","DYSTINCT",indian,UNCLASSIFIED,0,indian,2026-06-09T22:41:41.981Z,263175,no
deezer:2988633781,"A Little Closer (Oppidan Remix)","Diffrent",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.200Z,261770,yes
deezer:2009314007,"So Tell Me…","Nia Archives",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.695Z,261272,yes
deezer:1883676927,"Emotions","T95",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.322Z,260686,yes
deezer:2184667297,"Perdoa","GNTK",pop_urbano_nova_pop,UNCLASSIFIED,0,pop_urbano_nova_pop,2026-06-13T19:38:19.035Z,257523,yes
deezer:2645699092,"Counting (Taiki Nulight Remix)","Hamdi",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:05.128Z,256640,yes
deezer:3371384051,"Piece Of My Soul","Diffrent",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.798Z,254956,yes
deezer:3024162231,"Chop Dat","Becking",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.044Z,254026,yes
deezer:2763261861,"Breathe","Milson",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.155Z,252377,yes
deezer:61352720,"Crossroads (Radio Edit)","Blazin' Squad",pop,UNCLASSIFIED,0,pop_uk,2026-06-14T02:58:05.703Z,251697,yes
deezer:3418858,"My Funny Valentine (Live)","Chucho Valdés",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:17.027Z,249535,yes
deezer:5619863,"No Rhyme, No Reason","George Duke",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.053Z,249066,no
deezer:137687715,"The Song Lives On","Joe Sample",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.056Z,246666,no
deezer:9439390,"Crepuscule With Nellie","John Coltrane",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.938Z,246415,yes
deezer:75722273,"I Can't Get Started","Sonny Rollins",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:17.071Z,245827,yes
deezer:446562282,"We See","Fred Hersch Trio",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.905Z,243935,yes
deezer:786488,"For Once in My Life (Live)","Michael Bublé",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:17.016Z,243268,yes
deezer:1658991262,"18 & Over","Nia Archives",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.762Z,242222,yes
deezer:2122528287,"More and More","Document One",,UNCLASSIFIED,0,UK_uk_garage_dnb,2026-06-15T21:10:20.128Z,240051,yes
deezer:133871704,"Não Sou o Único (Ao Vivo)","Resistência",classica-portuguesa,UNCLASSIFIED,0,classica_tuga,2026-06-15T16:42:00.190Z,238789,yes
deezer:1296817102,"Playback","Carlos Paião",classica-portuguesa,UNCLASSIFIED,0,classica_tuga,2026-06-15T16:42:00.378Z,238758,yes
deezer:2822707742,"Sinner","Charlotte Haining",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.100Z,237451,yes
deezer:5323928,"Stop, Look, Listen To Your Heart","Will Downing",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.058Z,236045,no
deezer:1926094,"Ao Passar A Ribeirinha","Jorge Ferreira",pop,UNCLASSIFIED,0,classica_tuga,2026-06-15T16:42:00.433Z,235124,yes
deezer:1181542,"Some Other Time (Live)","Bill Evans",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:17.060Z,233582,yes
deezer:1093378,"A Little Bumpin'","Lee Ritenour",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.060Z,233566,no
deezer:3392979431,"Rain","Sensu",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.853Z,233081,yes
deezer:2192735177,"Elijah","Virgul",pop,UNCLASSIFIED,0,pop_urbano_nova_pop,2026-06-13T19:38:19.102Z,232573,yes
deezer:626319,"Who's That Lady","Peter White",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.064Z,232003,no
deezer:2157929627,"Ten Ton","Sustance",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:05.006Z,231810,yes
deezer:1586975422,"What a Fool Believes","Spyro Gyra",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.067Z,231648,no
deezer:92829282,"Autumn In New York (Set 1 / Live At Cafe Bohemia, May 31, 1956)","Kenny Dorham",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.994Z,230887,yes
deezer:1296733622,"Eu Tenho Dois Amores","Marco Paulo",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:02.195Z,230846,yes
deezer:3282329031,"Alone","MPH",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.897Z,229490,yes
deezer:1883676937,"Touch The Sky","T95",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.311Z,226518,yes
deezer:2622360222,"Butterflies","Gardna",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.144Z,226408,yes
deezer:640682832,"Steezing","Conducta",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:05.172Z,224505,yes
deezer:1967586277,"Tongue Tied","Document One",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.266Z,224188,yes
deezer:1697942667,"Time (feat. Potent & Paranoid)","Burt Cope",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.277Z,218787,yes
deezer:3407910,"Big ""P"" (Live)","Cannonball Adderley Quintet",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:17.094Z,217723,yes
deezer:2316734095,"Send It","Oppidan",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.211Z,216956,yes
deezer:49785701,"A Bela Portuguesa","Diapasão",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:01.851Z,216020,yes
deezer:1043303,"Havana","Kenny G",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.069Z,213386,no
deezer:60690853,"Carro Preto","Jorge Ferreira",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:02.339Z,211598,yes
deezer:659707542,"Atrevido","Djodje",pop,UNCLASSIFIED,0,portugal,2026-06-10T22:25:25.448Z,209067,no
deezer:8066393,"Solar System","Crystal Fighters",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:06.268Z,206830,yes
deezer:2693917252,"Vienas","Free Finga",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:05.183Z,206117,yes
deezer:3333698,"Lady Bird (Live / Remastered)","Miles Davis",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:16.972Z,204960,yes
deezer:5622108,"Surrender (feat. Boney James)","Jonathan Butler",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.072Z,204910,no
deezer:622840,"Cherokee (Live at Village Vanguard, New York, NY - December 1993)","Wynton Marsalis",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:17.038Z,204650,yes
deezer:3366556261,"Blessings","p-rallel",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.964Z,204050,yes
deezer:1366215032,"Now That The Summer's Here","Michael Franks",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.074Z,203239,no
deezer:1036491872,"Ipanema","Linearwave",pop,UNCLASSIFIED,0,bossa_nova,2026-06-11T18:02:21.337Z,201123,yes
deezer:3348184351,"Straight From The Underground","Riordan",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.953Z,200863,yes
deezer:1017695002,"Subaru Impreza","Tommy Holohan",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.817Z,200271,yes
deezer:2954565,"Send One Your Love","Boney James",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.076Z,200027,no
deezer:1586983082,"Freetime","Spyro Gyra",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.078Z,199841,no
deezer:1453771182,"River Flows","flowanastasia",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.983Z,199554,yes
deezer:2272244457,"Everything Is Possible","Solah",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.928Z,199272,yes
deezer:3409857161,"Lyrically Ill","Zero",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.864Z,194574,yes
deezer:2167000,"Dei-Te Quase Tudo (2006)","Paulo Gonzo",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:00.345Z,194543,yes
deezer:2290253215,"Hush Hush","T95",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.299Z,193049,yes
deezer:421183192,"Caillou s'endort","Caillou",children,UNCLASSIFIED,0,portugal,2026-06-10T01:29:20.854Z,192937,no
deezer:1444370522,"I'll Always Love You","Boney James",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.081Z,192765,no
deezer:2516290291,"Kanjiru","Kasra",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:05.161Z,192365,yes
deezer:3308837101,"LOVELOVE","Lucky Luke",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.820Z,191152,yes
deezer:3291827,"A fisga","Rio Grande",pop,UNCLASSIFIED,0,classica_tuga,2026-06-15T16:42:00.134Z,189717,yes
deezer:2296068,"Morocco (Album Version)","The Rippingtons",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.083Z,189513,no
deezer:2703584982,"where is your pride?","Moby",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.806Z,189129,yes
deezer:686139,"Sometimes It Snows in April (Dreem House Dub Radio Edit)","Amar",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:05.637Z,188318,yes
deezer:2079669947,"X-Rated","Cheetah",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.861Z,186642,yes
deezer:421183092,"Caillou au zoo","Caillou",children,UNCLASSIFIED,0,portugal,2026-06-10T01:29:20.876Z,185857,no
deezer:3419540081,"Better Me","Lug",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.875Z,185561,yes
deezer:2847226452,"Tuff Breaks","Toby Ross",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:04.795Z,185336,yes
deezer:66024483,"Ocean Blue","Earl Klugh",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.087Z,184286,no
deezer:1948416397,"Swing My Way","Kleu",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:03.188Z,182593,yes
deezer:10339711,"Everyday (Netsky Remix)","Rusko",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:06.313Z,181439,yes
deezer:12891257,"Eu Sei, Tu És ...","Santamaria",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:02.051Z,178241,yes
deezer:421183162,"Caillou fait un tour","Caillou",children,UNCLASSIFIED,0,portugal,2026-06-10T01:29:20.909Z,173049,no
deezer:1722183,"What's New","McCoy Tyner",GL_jazz_lounge,UNCLASSIFIED,0,playlist_GL_jazz_lounge,2026-06-15T16:42:17.083Z,172215,yes
deezer:2582722082,"Friday Nights (efan Remix)","EV",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:02.826Z,171872,yes
deezer:68616112,"Anjo da Guarda (Olha por Mim)","Monica Sintra",PT_classica_tuga,UNCLASSIFIED,0,playlist_PT_classica_tuga,2026-06-15T16:42:01.364Z,170135,yes
deezer:626001,"Just My Imagination","Peter White",jazz,UNCLASSIFIED,0,,2026-06-08T16:50:11.090Z,167983,no
deezer:2641550462,"WORRIES","Lzee",UK_uk_garage_dnb,UNCLASSIFIED,0,playlist_UK_uk_garage_dnb,2026-06-15T16:42:02.870Z,167158,yes
